elevation_meters,elevation_factor,rain_intensity_mm_hr,cumulative_rainfall_3h_mm,soil_saturation_percent,drainage_capacity_m3s,drainage_saturation_percent,current_water_level_cm,water_level_rise_rate_10m,future_water_level_15m_cm,future_water_level_30m_cm,future_water_level_60m_cm,is_anomaly,risk_class,risk_label
569.5,0.36,8.4,21.4,35.2,21.0,24.6,12.5,0.3,12.5,13.2,12.5,0,1,MODERATE
551.4,0.781,54.2,109.9,78.9,19.7,100.0,35.6,7.12,46.4,57.6,75.1,0,3,CRITICAL
576.7,0.193,23.7,68.5,57.4,24.4,97.6,26.7,3.02,30.8,36.5,44.6,0,3,CRITICAL
576.7,0.193,16.4,60.3,69.6,15.7,100.0,28.6,3.54,34.0,39.9,49.4,0,3,CRITICAL
572.3,0.295,3.1,13.1,32.3,11.2,15.6,6.8,-0.28,6.2,6.2,4.7,0,0,LOW
557.9,0.63,3.1,15.4,46.4,19.7,12.8,12.4,-0.24,12.3,11.0,10.6,0,0,LOW
584.5,0.012,1.1,24.7,46.0,22.6,3.9,3.8,-0.24,3.0,2.7,1.6,0,0,LOW
551.1,0.788,36.2,133.1,92.8,19.8,100.0,34.8,6.74,44.9,54.5,73.0,0,3,CRITICAL
566.1,0.44,16.5,50.1,63.0,16.0,100.0,29.6,4.42,36.2,42.0,53.6,0,3,CRITICAL
546.7,0.891,22.2,80.6,68.7,11.0,100.0,36.0,6.0,45.0,54.9,72.1,0,3,CRITICAL
542.5,0.988,0.4,28.2,44.8,14.0,2.2,14.3,-0.33,13.7,13.2,14.0,0,1,MODERATE
579.7,0.123,63.1,122.3,84.7,23.7,100.0,29.7,6.3,39.3,48.8,65.0,0,3,CRITICAL
574.8,0.237,32.2,97.6,79.4,10.0,100.0,27.8,3.7,33.8,39.7,50.5,0,3,CRITICAL
555.2,0.693,4.3,40.7,59.3,11.3,39.5,19.1,-0.27,19.0,18.8,16.2,0,1,MODERATE
562.4,0.526,3.6,18.1,46.5,16.3,18.0,10.1,-0.0,10.3,9.5,9.4,0,0,LOW
584.8,0.005,3.6,25.6,43.2,11.8,23.1,5.2,-0.13,5.1,4.3,3.4,0,0,LOW
545.1,0.928,6.5,23.5,49.9,22.9,24.8,15.8,-0.13,15.8,14.8,13.7,0,1,MODERATE
582.2,0.065,13.4,47.2,59.3,22.1,62.9,15.6,-0.07,15.4,15.2,15.1,0,1,MODERATE
573.4,0.27,10.2,62.6,53.3,16.0,59.5,18.1,0.32,18.3,18.4,19.8,0,1,MODERATE
560.1,0.579,6.2,20.2,48.6,16.6,31.8,18.1,0.05,17.7,19.2,19.6,0,1,MODERATE
583.7,0.03,17.0,79.5,63.1,17.3,100.0,24.6,2.54,28.0,32.0,41.1,0,2,HIGH
553.4,0.735,2.7,24.8,40.9,24.4,7.9,14.8,-0.01,15.0,14.1,14.0,0,1,MODERATE
583.7,0.03,6.2,34.9,52.4,10.9,52.2,14.9,0.03,15.3,14.3,16.7,0,1,MODERATE
545.4,0.921,8.2,36.1,51.6,13.5,54.8,23.5,0.3,23.7,24.6,25.7,0,2,HIGH
560.0,0.581,11.0,44.4,60.9,13.1,89.5,31.6,3.19,36.3,41.5,49.4,0,3,CRITICAL
555.6,0.684,27.7,69.5,63.9,25.0,100.0,37.2,4.54,43.7,50.4,65.1,0,3,CRITICAL
579.9,0.119,4.0,25.2,35.8,22.5,11.1,6.4,0.05,7.0,6.9,4.9,0,0,LOW
577.1,0.184,13.0,48.4,63.0,12.0,100.0,25.9,2.16,29.2,31.9,38.8,0,2,HIGH
572.9,0.281,16.2,50.1,50.3,17.3,82.4,27.4,3.77,32.6,38.6,48.5,0,3,CRITICAL
542.2,0.995,0.9,27.7,39.1,21.1,2.9,14.0,-0.13,13.3,12.8,14.6,0,0,LOW
580.9,0.095,16.8,68.2,65.8,12.2,100.0,24.9,2.54,29.1,33.1,40.9,0,2,HIGH
580.7,0.1,3.4,15.2,29.7,21.7,8.1,6.5,-0.09,6.5,5.5,7.5,0,0,LOW
579.2,0.135,1.2,35.7,55.5,10.4,11.2,6.8,-0.18,7.0,6.9,7.1,0,0,LOW
576.9,0.188,53.5,118.5,81.4,23.1,100.0,30.4,5.58,39.1,47.1,62.1,0,3,CRITICAL
576.2,0.205,60.7,95.9,71.8,14.9,100.0,30.6,7.32,41.4,52.8,72.7,0,3,CRITICAL
584.2,0.019,29.7,98.7,71.7,24.6,100.0,24.3,4.37,30.6,36.6,49.4,0,3,CRITICAL
573.3,0.272,6.5,35.3,47.9,15.8,34.5,13.3,-0.12,13.3,11.9,14.1,0,0,LOW
565.2,0.46,1.8,33.9,50.4,15.5,10.2,6.5,0.03,6.4,6.2,7.9,0,0,LOW
572.9,0.281,20.7,47.2,51.8,16.0,100.0,28.2,3.05,32.7,38.2,46.5,0,3,CRITICAL
580.8,0.098,10.4,34.8,48.4,10.0,88.1,22.9,2.22,26.3,29.9,35.6,0,2,HIGH
561.0,0.558,2.3,22.5,49.3,21.9,9.1,8.0,-0.3,7.6,7.4,5.7,0,0,LOW
577.2,0.181,12.3,56.5,52.7,13.0,87.3,22.1,2.3,25.5,29.7,33.9,0,2,HIGH
559.8,0.586,0.6,9.1,38.5,17.4,2.3,7.1,0.01,6.6,7.6,8.1,0,0,LOW
546.6,0.893,43.2,88.3,83.3,17.8,100.0,34.0,6.56,44.2,53.6,73.1,0,3,CRITICAL
570.7,0.333,5.4,38.8,58.4,23.4,23.6,11.6,0.14,11.8,12.7,12.6,0,0,LOW
580.6,0.102,19.6,65.8,58.1,13.7,100.0,28.1,3.47,33.3,38.8,47.4,0,3,CRITICAL
545.3,0.923,6.7,22.0,37.4,18.1,24.2,16.0,-0.13,16.0,16.0,13.7,0,1,MODERATE
559.5,0.593,13.2,43.9,46.1,16.3,65.3,26.9,0.21,27.4,28.2,29.1,0,2,HIGH
558.4,0.619,14.2,31.2,50.7,22.8,55.3,25.0,0.14,25.5,25.5,26.2,0,2,HIGH
551.5,0.779,3.7,23.2,32.2,15.0,13.9,14.9,-0.08,14.4,14.6,13.1,0,1,MODERATE
568.8,0.377,62.9,94.0,78.3,10.4,100.0,31.4,6.68,41.4,50.5,69.7,0,3,CRITICAL
551.1,0.788,26.9,76.8,66.0,21.3,100.0,37.5,5.0,44.6,51.5,66.6,0,3,CRITICAL
585.0,0.0,50.5,114.9,93.1,19.8,100.0,27.5,5.96,36.1,44.4,60.8,0,3,CRITICAL
